소스,사업명,주관부처,마감일,상세링크,수집일시
K-Startup,강남구 개포동지역 ㈜오피스허브 1인 창조기업 지원센터 입주기업 모집(2인실),㈜오피스허브 1인 창조기업 지원센터,2026-05-27,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177731,2026-07-23 08:02
K-Startup,정보보호 유니콘 기업 육성 프로그램 참여기업 모집 안내,한국인터넷진흥원,2026-05-27,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177678,2026-07-23 08:02
K-Startup,"[상상플래닛]  5분 기업 소개듣고, 월드비전과 협업지점 찾자!",KT&G 상상플래닛,2026-05-27,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177613,2026-07-23 08:02
K-Startup,2026년 제7회 환경분야 청년창업 지원사업,한국생산성본부,2026-05-27,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177635,2026-07-23 08:02
K-Startup,2026년 2차 대전 팁스타운 팁스아카데미 : IR 자료 작성법,창업진흥원,2026-05-27,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177766,2026-07-23 08:02
K-Startup,&apos;스타트업 오픈이노베이션 챌린지 2026 In 부산&apos; 참여기업 모집,부산창조경제혁신센터,2026-05-27,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177609,2026-07-23 08:02
K-Startup,[창업] 청년창업가 기획자 양성(능력 있는 기획자의 듣고 말하기),마포청년창업취업지원센터 나루,2026-05-27,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177777,2026-07-23 08:02
K-Startup,2026 관악S밸리 X 미림마이스터고 인재매칭 잡페어 참여기업 모집,(재)관악중소벤처진흥원장,2026-05-28,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177707,2026-07-23 08:02
K-Startup,2026년 글로벌기업 협업프로그램(추경) 창업기업 모집,중소벤처기업장관,2026-05-28,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177575,2026-07-23 08:02
K-Startup,[강원창조경제혁신센터] 강원브릿지 배치프로그램(바이오헬스 트랙) 창업기업 모집 공고,(재)강원창조경제혁신센터,2026-05-28,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177669,2026-07-23 08:02
K-Startup,2026년 KICXUP 서울 입주기업 모집공고,"한국산업단지공단,씨엔티테크",2026-05-28,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177653,2026-07-23 08:02
K-Startup,2026년 K-BRIDGE AHEAD 특화창업교육 프로그램 교육생 모집,비전넥스텝(주),2026-05-28,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177547,2026-07-23 08:02
K-Startup,「제조창업패키지」모집 공고,경북대학교 스타트업지원센터,2026-05-28,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177664,2026-07-23 08:02
K-Startup,제 1회 지역거점 창업센터 연합 정기 IR ⌜KW SPACE 6⌟ 참관객 모집,강북청년창업마루,2026-05-28,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177804,2026-07-23 08:02
K-Startup,2026년  B the B 글로벌 거점 확산 파트너사 모집,(재)서울경제진흥원,2026-05-28,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177551,2026-07-23 08:02
K-Startup,2026 지역창업 페스티벌 연계 제102회 대전창업포럼 참여 투자사 모집,(재)대전창조경제혁신센터,2026-05-29,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177730,2026-07-23 08:02
K-Startup,[강원창조경제혁신센터] 2026년 창업BuS 강원브릿지 화요IR 참여기업 모집(6월),(재)강원창조경제혁신센터,2026-05-29,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177668,2026-07-23 08:02
K-Startup,2026년 경기 스타트업 아카데미 AWS Kiro로 Spec 기반 바이브코딩,경기도경제과학진흥원,2026-05-29,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177727,2026-07-23 08:02
K-Startup,고려대기술지주(주) 판교인큐베이팅센터 입주기업 모집공고,고려대학교기술지주 주식회사,2026-05-29,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177689,2026-07-23 08:02
K-Startup,[코레일유통/본사] 제3차 청년창업 제휴사업자 모집공고,코레일유통(주),2026-05-29,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177734,2026-07-23 08:02
K-Startup,「2026년 전남 나주 강소연구개발특구」이노테크 창업기업육성 사업 예비·초기창업자 모집 연장공고,"한국전력공사 강소특구 육성사업단장, 나주 강소특구 공동연구기관장",2026-05-29,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177655,2026-07-23 08:02
K-Startup,[서울창조경제혁신센터] 2026년도 창업도약패키지(AI 인재 실증형) 사업설명회,(재)서울창조경제혁신센터,2026-05-29,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177781,2026-07-23 08:02
K-Startup,2026년 대전·세종관광기업지원센터 입주기업 모집기간 연장 공고,대전관광공사,2026-05-29,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177704,2026-07-23 08:02
K-Startup,데이터와 AI를 활용한 웹 기반 MVP 개발 실습,차세대융합기술연구원,2026-05-29,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177675,2026-07-23 08:02
K-Startup,2026 재도전혁신캠퍼스 BRAVO 액셀러레이팅 지원사업 운영사 모집,(재)대전창조경제혁신센터,2026-05-29,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177577,2026-07-23 08:02
K-Startup,2026년 서울창업허브 창동 투자 특화 프로그램 (IR 고도화 과정) - IR 전문가 컨설팅,서울창업허브 창동,2026-05-29,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177605,2026-07-23 08:02
K-Startup,2026. 마을·청년 공유 플랫폼 어썸332st 카페 창업팀 모집,중원유스센터,2026-05-29,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177567,2026-07-23 08:02
K-Startup,국내기업 글로벌 성장자본 유치지원  Invest KOREA Startup Program (IKSP) 참가기업 모집 안내,대한무역투자진흥공사,2026-05-29,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177614,2026-07-23 08:02
K-Startup,2026 KAIST Fast Prototyping,KAIST 창업원,2026-05-29,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177823,2026-07-23 08:02
K-Startup,[스마트전자약종합지원센터] 2026년 스마트 전자약 사업화 종합 지원 모집,건양대병원 스마트전자약종합지원센터,2026-05-29,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177594,2026-07-23 08:02
K-Startup,2026년 투자유치 역량강화 지원사업 참가기업 모집 연장공고,군포산업진흥원장,2026-05-29,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177632,2026-07-23 08:02
K-Startup,2026년 창원시 스타트업 액셀러레이팅 지원사업,(재)창원산업진흥원,2026-05-29,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177579,2026-07-23 08:02
K-Startup,2026. 마을·청년 공유 플랫폼 하반기 예비창업팀 모집,중원유스센터,2026-05-29,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177564,2026-07-23 08:02
K-Startup,2026년 군포산업진흥원 창업보육센터 제3차 입주기업 모집공고,군포산업진흥원장,2026-05-29,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177599,2026-07-23 08:02
K-Startup,「2026 서울 인디게임 개발 챌린지」 참여팀 모집,(재)서울경제진흥원,2026-05-29,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177708,2026-07-23 08:02
K-Startup,2026년 경기도 공공데이터·AI 활용 창업경진대회,경기도경제과학진흥원,2026-05-29,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177622,2026-07-23 08:02
K-Startup,영해 로컬 나이트마켓 창업팀 모집_영덕 영해면 상권 활성화 프로젝트,(주)초블레스,2026-05-30,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177600,2026-07-23 08:02
K-Startup,「2026년 전북특구 이노폴리스 캠퍼스 액셀러레이팅 배치프로그램 1기」창업기업 및 예비창업자 모집,주식회사 베타랩,2026-05-31,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177625,2026-07-23 08:02
K-Startup,『2026년 민간주도형 기술창업 활성화 지원사업』 정출연 (예비)창업기업 모집(연장)공고,㈜로우파트너스,2026-05-31,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177774,2026-07-23 08:02
K-Startup,2026년 2차 단국대학교(천안) 창업보육센터 '창조플러스존'입주기업 모집,단국대학교 생명공학창업보육센터장,2026-05-31,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177658,2026-07-23 08:02
